0,Macy,0,6,5
1,Sydney,0,5,8
2,Risa,9,3,5
3,Ulla,8,10,5
4,Olga,1,10,2
5,Sydnee,2,8,10
6,Madison,7,1,3
7,Winifred,9,7,1
8,Hayfa,7,5,4
9,Noelle,8,1,6
10,Mallory,1,5,2
11,Tasha,6,7,2
12,Orli,8,3,2
13,Lani,1,9,3
14,Alea,3,6,8
15,Hadassah,2,6,2
16,Christen,9,2,7
17,Veronica,7,5,5
18,Jana,4,5,1
19,Leilani,4,10,3
20,Cheryl,4,4,7
21,Aurora,5,3,4
22,Wanda,10,5,6
23,Basia,8,6,10
24,Yvette,1,6,4
25,Nichole,10,2,6
26,Brooke,6,5,2
27,Kylynn,7,8,5
28,Kessie,6,8,3
29,Jasmine,7,2,8
30,Cassidy,7,2,10
31,Lucy,2,1,7
32,Chava,5,6,4
33,Adria,10,4,7
34,Rhonda,9,10,2
35,Brenda,8,9,6
36,Audra,4,10,9
37,Erica,4,8,8
38,Samantha,2,6,9
39,Veda,8,10,5
40,Ebony,6,5,9
41,Selma,7,5,9
42,Guinevere,4,3,7
43,Leilani,10,9,10
44,Yoshi,6,4,9
45,September,4,9,6
46,Kellie,8,4,1
47,Lacey,7,7,7
48,Wyoming,8,8,8
49,Wynter,6,7,3
50,Haviva,9,8,6
51,Simone,2,1,5
52,Risa,7,2,9
53,Brooke,9,3,6
54,Charity,10,6,7
55,Octavia,10,6,5
56,Maggie,8,1,10
57,Mechelle,5,6,4
58,Olga,4,9,9
59,Xantha,9,6,9
60,Mary,8,10,7
61,Yen,7,3,10
62,Sigourney,10,2,10
63,Karyn,9,1,8
64,Echo,10,4,2
65,Roary,2,4,4
66,Brynn,2,3,3
67,Daria,10,4,7
68,Olivia,5,10,3
69,Rhonda,4,7,6
70,Scarlett,7,6,7
71,Iliana,5,9,2
72,Rana,4,8,1
73,Savannah,9,10,8
74,Willa,8,2,9
75,Cherokee,3,3,5
76,Vielka,8,4,4
77,Teagan,1,4,10
78,Janna,6,5,9
79,Judith,4,3,4
80,Justina,2,3,4
81,Farrah,7,6,7
82,Ignacia,8,6,1
83,Stacey,9,5,10
84,Cleo,10,4,7
85,Indigo,1,10,3
86,Teagan,8,4,10
87,Anastasia,2,2,9
88,Ora,4,7,2
89,Leila,7,10,9
90,Dai,2,4,4
91,Heidi,6,1,9
92,Inez,3,4,6
93,Chloe,3,4,7
94,Kirestin,4,7,9
95,Serena,8,10,7
96,Sopoline,1,6,3
97,Shea,1,10,6
98,Amy,3,8,3
99,Katelyn,4,5,8
100,Ingrid,6,9,4
101,Willa,2,7,10
102,Halee,7,2,5
103,Yen,10,2,9
104,Regina,7,8,6
105,Fatima,10,6,3
106,Imelda,4,10,3
107,Jorden,6,8,1
108,Teegan,9,3,4
109,Dana,9,7,3
110,Violet,6,10,3
111,Gwendolyn,6,10,3
112,Cynthia,1,9,8
113,Haley,3,3,1
114,Yvette,6,3,2
115,Neve,7,5,2
116,Larissa,8,4,7
117,Raya,6,1,1
118,Briar,2,1,2
119,Indigo,9,7,8
120,Nell,10,6,4
121,Teagan,6,4,9
122,Tallulah,1,2,6
123,Aline,10,5,10
124,Victoria,9,9,5
125,Dominique,10,9,5
126,Cathleen,6,3,5
127,Cassidy,8,3,8
128,Simone,6,1,8
129,Mara,6,1,10
130,Yen,3,3,4
131,Donna,9,6,9
132,Jasmine,7,6,3
133,Robin,8,10,6
134,Shelly,4,1,4
135,Cassady,6,4,9
136,Samantha,3,10,8
137,Alana,3,3,6
138,Susan,4,7,3
139,Noel,5,1,9
140,Astra,5,2,6
141,Ocean,8,1,3
142,Sacha,5,4,6
143,Heidi,8,3,8
144,Roary,5,1,4
145,Cleo,1,4,2
146,Judith,5,10,9
147,Colleen,8,4,5
148,Kaden,3,10,10
149,Jada,5,2,5
150,Iona,7,2,7
151,Jayme,8,1,7
152,Maxine,8,10,6
153,Callie,6,7,6
154,MacKensie,5,6,7
155,Rose,8,6,6
156,Bree,2,5,7
157,Tatiana,10,6,5
158,Jaime,9,10,4
159,Anastasia,1,2,6
160,Gretchen,9,5,4
161,Macey,2,8,7
162,Leigh,2,5,6
163,Charissa,4,2,10
164,Denise,9,5,7
165,Althea,8,7,10
166,Madeline,10,6,3
167,Clementine,4,2,9
168,Ann,5,9,7
